diseases,symptoms,drugs,,,,,,,
hypertensive disease,high blood sugar,mirtazapine,,,,,,,
diabetes,shortness of breath,mesalamine,,,,,,,
depression mental^depressive disorder,dizziness,bactrim,,,,,,,
coronary arteriosclerosis^coronary heart disease,asthenia,contrave,,,,,,,
pneumonia,fall,cyclafem 1 / 35,,,,,,,
failure heart congestive,syncope,zyclara,,,,,,,
accidentÿcerebrovascular,vertigo,copper,,,,,,,
asthma,sweat^sweating increased,amitriptyline,,,,,,,
myocardial infarction,palpitation,methadone,,,,,,,
hypercholesterolemia,nausea,levora,,,,,,,
infection,angina pectoris,paroxetine,,,,,,,
infection urinary tract,pressure chest,miconazole,,,,,,,
anemia,polyuria,belviq,,,,,,,
chronic obstructive airway disease,polydypsia,seroquel,,,,,,,
dementia,pain chest,ambien,,,,,,,
insufficiency renal,orthopnea,nuvigil,,,,,,,
confusion,rale,chantix,,,,,,,
degenerativeÿpolyarthritis,unresponsiveness,microgestin fe 1 / 20,,,,,,,
hypothyroidism,mental status changes,klonopin,,,,,,,
anxiety state,vomiting,ciprofloxacin,,,,,,,
malignant neoplasms^primary malignant neoplasm,labored breathing,trazodone,,,,,,,
acquiredÿimmuno-deficiency syndrome^hiv^hiv infections,feeling suicidal,enteragam,,,,,,,
cellulitis,suicidal,aripiprazole,,,,,,,
gastroesophageal reflux disease,hallucinations auditory,cyclosporine,,,,,,,
septicemia^systemic infection^sepsis (invertebrate),feeling hopeless,oxybutynin,,,,,,,
deep vein thrombosis,weepiness,lurasidone,,,,,,,
dehydration,sleeplessness,clonazepam,,,,,,,
neoplasm,motor retardation,ciclopirox,,,,,,,
embolism pulmonary,irritable mood,sodium oxybate,,,,,,,
epilepsy,blackout,lamotrigine,,,,,,,
cardiomyopathy,mood depressed,blisovi fe 1 / 20,,,,,,,
chronic kidney failure,hallucinations visual,ivermectin,,,,,,,
carcinoma,worry,suprep bowel prep kit,,,,,,,
hepatitis c,agitation,movantik,,,,,,,
peripheral vascular disease,tremor,lorcaserin,,,,,,,
psychotic disorder,intoxication,actos,,,,,,,
hyperlipidemia,verbal auditory hallucinations,duloxetine,,,,,,,
bipolar disorder,energy increased,nuvaring,,,,,,,
obesity,difficulty,escitalopram,,,,,,,
ischemia,nightmare,tesamorelin,,,,,,,
cirrhosis,unable to concentrate,campral,,,,,,,
exanthema,homelessness,gabapentin,,,,,,,
benign prostatic hypertrophy,hypokinesia,levonorgestrel,,,,,,,
kidney failure acute,dyspnea on exertion,aubra,,,,,,,
mitral valve insufficiency,chest tightness,plan b one-step,,,,,,,
arthritis,cough,ethinyl estradiol / etonogestrel,,,,,,,
bronchitis,fever,microgestin fe 1.5 / 30,,,,,,,
hemiparesis,decreased translucency,wellbutrin,,,,,,,
osteoporosis,productive cough,clonazepam,,,,,,,
transient ischemic attack,pleuritic pain,benzoyl peroxide / clindamycin,,,,,,,
